id,name,hazardous
54005664,(2020 DT3),True
2613714,613714 (2007 DL41),True
2514596,514596 (2003 FG),True
3666783,(2014 FO47),True
2162000,162000 (1990 OS),True
54213618,(2021 TD32),True
3285304,(2005 OD3),True
54016377,(2020 FO5),True
2524268,524268 (2001 TO48),True
2385186,385186 (1994 AW1),True
3288478,(2005 PA5),True
2357028,357028 (2000 EJ26),True
3819665,(2018 HL2),True
3715376,(2015 FS332),True
2410778,410778 (2009 FG19),True
3785686,(2017 TG2),True
3831479,(2018 TF3),True
3082929,(2001 SZ269),True
3724106,(2015 NU13),True
54100193,(2020 XD5),True
2329437,329437 (2002 OA22),True
3388315,(2007 TU24),True
2454100,454100 (2013 BO73),True
54016410,(2020 FM6),True
2035107,35107 (1991 VH),True
2164207,164207 (2004 GU9),True
2536531,536531 (2015 DV215),True
2172678,172678 (2003 YM137),True
2480858,480858 (2001 PT9),True
3605764,(2012 LK11),True
